"ID","Filial","Type_ts","passport_region","VIP","Brand","Model","Yr_production","GAP","married","KBM","KBM_prol_est","delta_kbm","deduct","deduct_amount","product","Bank","channel - map","category","kvs_type","Age","Exp","discount","Amount - gr","sex","premium_car","price_gr","price_prc","OSAGO_clnt","target"
"2462","Уфимский","Отечественные","Республика Башкортостан","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","46","28","1","600000","M","0","20000","0.03","1","1"
"2463","Санкт - Петербургский","Иностранные","Санкт-Петербург","","KIA","RIO","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","33","13","1","800000","F","0","50000","0.055","0","1"
"2464","Ростовский","Иностранные","Ростовская область","","KIA","SOUL","2016","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000-","Классика","Банк","Розница","RN","Водители согласно перечню","38","9","1.05","800000","M","0","35000","0.04","1","0"
"2465","Ростовский","Отечественные","Ростовская область","","LADA","2121","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","43","18","1","400000","M","0","20000","0.04","0","0"
"2466","Челябинский","Иностранные","Саратовская область","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","30","12","1","800000","M","0","40000","0.05","1","0"
"2467","Краснодарский","Иностранные","Краснодарский край","","VOLKSWAGEN","TIGUAN","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","41","23","1","1800000","M","0","60000","0.03","1","0"
"2468","Уфимский","Иностранные","Республика Башкортостан","","RENAULT","DUSTER","2016","Нет","Состоит в браке","6","4","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Розница","RN","Водители согласно перечню","44","9","1","400000","M","0","20000","0.06","1","0"
"2469","Воронежский","Отечественные","Воронежская область","","LADA","VESTA","2016","Нет","Состоит в браке","4","2","-2","Безусловная франшиза","20000-","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","32","9","1.05","400000","F","0","15000","0.035","0","0"
"2470","Пермский","Отечественные","Пермский край","","LADA","GRANTA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","60","42","1","400000","M","0","10000","0.015","1","1"
"2471","Московский","Иностранные","Москва","","KIA","RIO","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","39","21","1","600000","F","0","35000","0.055","0","0"
"2472","Пермский","Иностранные","Пермский край","Особый статус +","HYUNDAI","CRETA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Розница","NB 0-1","Водители согласно перечню","42","24","1","1000000","F","0","30000","0.03","1","0"
"2473","Краснодарский","Иностранные","Краснодарский край","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","30","11","1.1","800000","M","0","50000","0.06","1","0"
"2474","Нижегородский","Иностранные","Нижегородская область","","HYUNDAI","TUCSON","2018","Нет","Не состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","67","41","1","1400000","F","0","40000","0.025","1","1"
"2475","Ростовский","Иностранные","Ростовская область","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","31","10","0.9","800000","M","0","45000","0.055","1","0"
"2476","Московский","Иностранные","Московская область","","HYUNDAI","CRETA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","52","8","1","1000000","M","0","35000","0.035","1","0"
"2477","Пермский","Иностранные","Пермский край","","KIA","RIO","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","49","20","1","600000","M","0","30000","0.04","0","0"
"2478","Ижевский","Отечественные","Удмуртская Республика","","LADA","2121","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","57","5","1","400000","M","0","15000","0.03","1","0"
"2479","Санкт - Петербургский","Иностранные","Санкт-Петербург","Особый статус +","BMW","1-СЕРИЯ","2015","Да","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Розница","NB 2+","Водители согласно перечню","18","0","1.05","800000","M","0","70000","0.08","1","1"
"2480","Ростовский","Иностранные","Ростовская область","","VOLKSWAGEN","TIGUAN","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","41","23","1","1400000","M","0","10000","0.005","1","1"
"2481","Московский","Иностранные","Московская область","","HYUNDAI","SOLARIS","2015","Нет","Состоит в браке","2","0","-2","Безусловная франшиза","20000-","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","33","14","1.1","600000","M","0","20000","0.035","1","1"
"2482","Московский","Иностранные","Московская область","","VOLKSWAGEN","POLO","2016","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Розница","NB 2+","Водители согласно перечню","41","16","1","600000","F","0","10000","0.02","0","0"
"2483","Волгоградский","Иностранные","Волгоградская область","","NISSAN","X-TRAIL","2018","Нет","Состоит в браке","8","7","-1","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","67","35","1","1600000","F","0","40000","0.02","1","1"
"2484","Московский","Иностранные","Московская область","","MITSUBISHI","PAJERO SPORT","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","56","37","1","2200000","F","0","70000","0.03","0","0"
"2485","Нижегородский","Иностранные","Нижегородская область","","SKODA","RAPID","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","51","5","1","600000","M","0","25000","0.03","0","0"
"2486","Московский","Иностранные","Москва","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","43","8","1","600000","F","0","10000","0.015","0","0"
"2487","Тверской","Отечественные","Тверская область","","LADA","GRANTA","2015","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Без банка","Розница","NB 2+","Водители согласно перечню","46","13","1","200000","M","0","10000","0.025","0","0"
"2488","Ростовский","Отечественные","Ростовская область","","LADA","GRANTA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","44","8","1.1","400000","M","0","20000","0.045","0","0"
"2489","Московский","Иностранные","Московская область","","HYUNDAI","SOLARIS","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Ограничение по стажу и возрасту, без ограничения количества лиц","25","5","1","600000","F","0","65000","0.095","0","0"
"2490","Краснодарский","Иностранные","Краснодарский край","","KIA","SPORTAGE","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","62","23","1","1400000","M","0","40000","0.025","1","0"
"2491","Нижегородский","Иностранные","Нижегородская область","","HYUNDAI","CRETA","2017","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","59","21","1","1200000","F","0","25000","0.02","0","0"
"2492","Санкт - Петербургский","Отечественные","Ленинградская область","","LADA","VESTA","2017","Нет","Не состоит в браке","6","4","-2","Безусловная франшиза","20000-","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","41","6","1.05","400000","F","0","25000","0.04","1","1"
"2493","Ростовский","Отечественные","Ростовская область","","LADA","GRANTA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","46","19","0.95","400000","M","0","15000","0.04","1","0"
"2494","Уфимский","Иностранные","Республика Башкортостан","","VOLKSWAGEN","POLO","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","33","9","1","400000","M","0","10000","0.015","1","1"
"2495","Московский","Иностранные","Ростовская область","","NISSAN","QASHQAI","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","43","15","1","1000000","M","0","45000","0.04","1","0"
"2496","Краснодарский","Иностранные","Ставропольский край","","VOLKSWAGEN","POLO","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","54","18","1","600000","F","0","30000","0.05","1","0"
"2497","Ростовский","Отечественные","Ростовская область","","LADA","GRANTA","2017","Нет","Не состоит в браке","10","8","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Ограничение по стажу и возрасту, без ограничения количества лиц","43","2","1","400000","F","0","10000","0.03","1","0"
"2498","Нижегородский","Иностранные","Нижегородская область","","KIA","RIO","2018","Нет","Не состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","24","6","1.05","600000","M","0","65000","0.095","0","0"
"2499","Краснодарский","Отечественные","Краснодарский край","","LADA","VESTA","2017","Да","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Розница","RN","Водители согласно перечню","45","20","1","400000","M","0","10000","0.01","1","1"
"2500","Краснодарский","Отечественные","Республика Адыгея","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","60","35","1.05","600000","F","0","30000","0.045","0","0"
"2501","Белгородский","Отечественные","Белгородская область","","LADA","GRANTA","2017","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","72","18","1","200000","M","0","10000","0.02","1","1"
"2502","Воронежский","Иностранные","Тамбовская область","","HYUNDAI","TUCSON","2017","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Legacy","Сетелем","Розница","NB 0-1","Водители согласно перечню","28","8","0.9","1200000","M","0","25000","0.02","1","0"
"2503","Самарский","Отечественные","Самарская область","","LADA","KALINA","2016","Да","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","32","12","1","200000","M","0","10000","0.01","1","0"
"2504","Белгородский","Иностранные","Белгородская область","","MAZDA","CX-5","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","43","22","1","1200000","M","0","45000","0.035","1","0"
"2505","Самарский","Отечественные","Самарская область","","LADA","GRANTA","2017","Да","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","RN","Водители согласно перечню","50","31","1.1","200000","M","0","10000","0.02","0","1"
"2506","Ростовский","Отечественные","Краснодарский край","","LADA","GRANTA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","38","17","1","0","F","0","10000","0.02","0","1"
"2507","Московский","Иностранные","Московская область","","NISSAN","QASHQAI","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","66","27","1","1400000","M","0","30000","0.02","1","1"
"2508","Волгоградский","Иностранные","Волгоградская область","","KIA","RIO","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","RN","Водители согласно перечню","49","31","1","200000","M","0","10000","0.03","1","0"
"2509","Санкт - Петербургский","Отечественные","Санкт-Петербург","","LADA","GRANTA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","RN","Водители согласно перечню","34","4","1","200000","M","0","10000","0.02","0","0"
"2510","Московский","Иностранные","Архангельская область","","KIA","SOUL","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","26","7","1","1200000","F","0","30000","0.025","0","0"
"2511","Санкт - Петербургский","Иностранные","Санкт-Петербург","","FORD","FOCUS","2015","Нет","Состоит в браке","2","0","-2","Безусловная франшиза","20000-","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","54","13","0.95","600000","M","0","25000","0.035","0","0"
"2512","Московский","Иностранные","Москва","Особый статус +","BMW","4-СЕРИЯ","2015","Нет","Состоит в браке","7","5","-2","Без франшизы","0","Классика","Без банка","Розница","RN sppg","Водители согласно перечню","22","4","1.1","3000000","F","1","70000","0.05","1","0"
"2513","Белгородский","Иностранные","Белгородская область","","VOLKSWAGEN","POLO","2016","Нет","Состоит в браке","4","2","-2","Без франшизы","0","Уверенный","Банк","Розница","RN","Водители согласно перечню","55","35","1","400000","F","0","10000","0.025","1","1"
"2514","Казанский","Иностранные","Республика Татарстан","","KIA","RIO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","53","32","1.1","800000","M","0","45000","0.05","0","0"
"2515","Московский","Иностранные","Москва","","HYUNDAI","IX35","2014","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN sppg","Водители согласно перечню","72","1","0.9","800000","M","0","20000","0.025","0","0"
"2516","Краснодарский","Иностранные","Краснодарский край","","VOLKSWAGEN","PASSAT","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","32","14","0.95","1800000","M","0","70000","0.045","1","0"
"2517","Самарский","Иностранные","Саратовская область","","KIA","SOUL","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","39","20","1","1000000","M","0","45000","0.035","1","0"
"2518","Московский","Отечественные","Москва","","LADA","VESTA","2016","Нет","Не состоит в браке","4","2","-2","Без франшизы","0","Классика","Банк","Автосалоны","RN sppg","Водители согласно перечню","51","9","1.05","400000","F","0","25000","0.05","0","0"
"2519","Московский","Отечественные","Москва","","LADA","LARGUS","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","36","17","1","600000","F","0","10000","0.015","0","0"
"2520","Магнитогорский","Иностранные","Республика Башкортостан","","HYUNDAI","SANTA FE","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","38","10","1","1600000","M","0","65000","0.04","1","0"
"2521","Московский","Отечественные","Московская область","","LADA","LARGUS","2017","Да","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Legacy","Без банка","Розница","NB 0-1","Водители согласно перечню","57","38","1.05","600000","M","0","10000","0.02","1","0"
"2522","Екатеринбургский","Иностранные","Свердловская область","","SKODA","RAPID","2017","Нет","Не состоит в браке","7","5","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Розница","RN","Водители согласно перечню","50","4","1","600000","M","0","45000","0.055","1","0"
"2523","Краснодарский","Иностранные","Ставропольский край","","HYUNDAI","CRETA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","RN","Водители согласно перечню","40","12","1","800000","M","0","15000","0.015","0","0"
"2524","Санкт - Петербургский","Отечественные","Санкт-Петербург","","LADA","KALINA SPORT","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","25","7","0.95","600000","M","0","30000","0.055","0","1"
"2525","Ростовский","Иностранные","Ставропольский край","","VOLKSWAGEN","TIGUAN","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","43","11","1.1","2000000","M","0","65000","0.03","1","1"
"2526","Белгородский","Отечественные","Белгородская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","63","43","1","600000","F","0","20000","0.03","0","0"
"2527","Московский","Иностранные","Московская область","","RENAULT","LOGAN","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN sppg","Водители согласно перечню","68","48","0.95","400000","M","0","20000","0.04","1","0"
"2528","Новосибирский","Иностранные","Новосибирская область","","SUBARU","FORESTER","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","48","18","1.1","2000000","F","0","55000","0.025","0","0"
"2529","Краснодарский","Иностранные","Краснодарский край","","RENAULT","LOGAN","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","56","37","0.9","600000","M","0","10000","0.015","1","0"
"2530","Уфимский","Иностранные","Республика Башкортостан","Особый статус +","VOLKSWAGEN","TIGUAN","2017","Нет","Состоит в браке","7","5","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN","Водители согласно перечню","41","9","1","1800000","M","0","25000","0.015","1","0"
"2531","Московский","Иностранные","Брянская область","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","34","14","1","1600000","M","0","70000","0.04","0","0"
"2532","Московский","Иностранные","Хабаровский край","","VOLKSWAGEN","TIGUAN","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","40","18","1","2200000","M","0","45000","0.02","1","0"
"2533","Московский","Иностранные","Московская область","","FORD","ECOSPORT","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","53","8","1","1000000","F","0","30000","0.03","0","1"
"2534","Челябинский","Иностранные","Пермский край","","TOYOTA","LAND CRUISER","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","49","25","1","3000000","M","1","70000","0.035","0","0"
"2535","Челябинский","Иностранные","Челябинская область","","HYUNDAI","SONATA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","50","6","0.9","1200000","M","0","65000","0.045","0","0"
"2536","Санкт - Петербургский","Иностранные","Санкт-Петербург","","VOLKSWAGEN","TIGUAN","2017","Да","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","RN","Водители согласно перечню","27","8","1","1800000","M","0","10000","0.005","1","1"
"2537","Самарский","Отечественные","Самарская область","","LADA","XRAY","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Без банка","Розница","NB 0-1","Водители согласно перечню","35","7","0.9","600000","M","0","15000","0.025","1","0"
"2538","Ставропольский","Иностранные","Санкт-Петербург","","FORD","FOCUS","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","25","7","0.95","1000000","M","0","55000","0.055","1","0"
"2539","Челябинский","Иностранные","Челябинская область","","HYUNDAI","SANTA FE","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","40","19","1","1600000","M","0","35000","0.02","0","0"
"2540","Санкт - Петербургский","Отечественные","Санкт-Петербург","","LADA","LARGUS","2017","Нет","Не состоит в браке","7","5","-2","Без франшизы","0","Классика","Банк","Автосалоны","RN","Водители согласно перечню","40","19","1","400000","M","0","30000","0.065","0","0"
"2541","Ижевский","Отечественные","Удмуртская Республика","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","38","20","1","600000","F","0","25000","0.04","0","1"
"2542","Пермский","Иностранные","Пермский край","","MAZDA","CX-5","2018","Да","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","56","16","1.1","1800000","F","0","30000","0.015","1","0"
"2543","Тульский","Иностранные","Тульская область","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","45","12","1","1600000","M","0","55000","0.03","1","0"
"2544","Тульский","Иностранные","Тульская область","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","45","20","1","1800000","M","0","65000","0.03","0","0"
"2545","Белгородский","Отечественные","Белгородская область","","LADA","GRANTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","34","16","1","400000","M","0","15000","0.04","1","0"
"2546","Тверской","Иностранные","Мурманская область","","RENAULT","LOGAN","2016","Нет","Состоит в браке","6","5","-1","Франшиза 2-ой страховой случай","20000+","Классика","Сетелем","Розница","RN","Водители согласно перечню","38","16","1","400000","M","0","20000","0.05","1","0"
"2547","Московский","Иностранные","Москва","","KIA","SOUL","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","58","24","1.05","1000000","F","0","30000","0.03","0","1"
"2548","Воронежский","Иностранные","Воронежская область","","KIA","MOHAVE","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Без банка","Автосалоны","RN","Водители согласно перечню","52","23","0.95","2400000","M","0","50000","0.02","1","1"
"2549","Московский","Иностранные","Волгоградская область","","HYUNDAI","CRETA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","28","5","0.95","1000000","F","0","35000","0.035","0","1"
"2550","Московский","Иностранные","Москва","","HYUNDAI","SOLARIS","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","28","8","1","600000","M","0","10000","0.02","0","0"
"2551","Пермский","Отечественные","Пермский край","","CHEVROLET","NIVA","2016","Нет","Состоит в браке","5","3","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","57","37","1","400000","M","0","10000","0.025","1","0"
"2552","Пермский","Иностранные","Удмуртская Республика","","FORD","FOCUS","2013","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","46","23","1","400000","M","0","10000","0.025","0","0"
"2553","Московский","Иностранные","Москва","","LEXUS","NX","2018","Да","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","NB 0-1","Водители согласно перечню","29","11","1","2600000","F","1","55000","0.02","0","1"
"2554","Воронежский","Иностранные","Белгородская область","","RENAULT","DUSTER","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","58","40","1","800000","M","0","10000","0.005","1","0"
"2555","Екатеринбургский","Отечественные","Свердловская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Без банка","Розница","NB 0-1","Водители согласно перечню","26","5","1","600000","M","0","40000","0.065","0","0"
"2556","Московский","Иностранные","Москва","Особый статус +","VOLVO","V90","2018","Да","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Розница","NB 0-1","Водители согласно перечню","40","21","0.9","2400000","M","1","60000","0.02","1","1"
"2557","Екатеринбургский","Иностранные","Свердловская область","","TOYOTA","RAV 4","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN sppg","Водители согласно перечню","64","38","0.9","1200000","M","0","40000","0.03","1","1"
"2558","Московский","Иностранные","Москва","","KIA","VENGA","2014","Нет","Состоит в браке","1","0","-1","Без франшизы","0","Классика","Без банка","Розница","RN sppg","Водители согласно перечню","66","45","1.05","600000","M","0","15000","0.03","1","0"
"2559","Ростовский","Иностранные","Ростовская область","","HYUNDAI","CRETA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","50","32","1","1000000","M","0","30000","0.025","1","0"
"2560","Самарский","Иностранные","Самарская область","","FORD","KUGA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","31","3","1","1200000","F","0","50000","0.04","1","0"
"2561","Московский","Иностранные","Московская область","","HYUNDAI","TUCSON","2018","Да","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","41","16","1.1","1600000","F","0","45000","0.025","0","0"
"2562","Краснодарский","Иностранные","Краснодарский край","","KIA","RIO","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","49","0","1","600000","F","0","30000","0.045","1","0"
"2563","Тверской","Иностранные","Тверская область","","FORD","FOCUS","2016","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN sppg","Водители согласно перечню","64","7","1","600000","F","0","15000","0.02","0","1"
"2564","Московский","Иностранные","Москва","","VOLKSWAGEN","TIGUAN","2016","Нет","Состоит в браке","4","2","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","57","36","1.1","1000000","M","0","20000","0.02","0","1"
"2565","Челябинский","Отечественные","Челябинская область","","LADA","GRANTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","34","14","1","400000","M","0","30000","0.065","0","0"
"2566","Тульский","Иностранные","Тульская область","","HONDA","CR-V","2014","Нет","Состоит в браке","1","0","-1","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Автосалоны","RN sppg","Водители согласно перечню","60","6","0.95","800000","F","0","40000","0.04","1","0"
"2567","Московский","Иностранные","Московская область","","KIA","SPORTAGE","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","30","4","1","1400000","F","0","35000","0.025","0","0"
"2568","Московский","Иностранные","Москва","","MITSUBISHI","PAJERO","2014","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","RN sppg","Водители согласно перечню","49","24","1.05","1400000","M","0","25000","0.015","1","1"
"2569","Московский","Иностранные","Ростовская область","","FORD","ECOSPORT","2016","Нет","Состоит в браке","4","2","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","44","15","1","600000","F","0","20000","0.025","0","0"
"2570","Пермский","Иностранные","Пермский край","","TOYOTA","LAND CRUISER PRADO 150","2014","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN","Водители согласно перечню","38","19","1","1800000","F","1","55000","0.03","1","1"
